Date,States,Commodity,Price,,,
24-Dec-19,Delhi,Apple,4225,,,
13-Dec-19,Delhi,Apple,5140,,,
12-Dec-19,Delhi,Apple,5140,,,
11-Dec-19,Delhi,Apple,5140,,,
10-Dec-19,Delhi,Apple,4015,,,
6-Dec-19,Delhi,Apple,5140,,,
4-Dec-19,Delhi,Apple,5140,,,
3-Dec-19,Delhi,Apple,5140,,,5168.375
2-Dec-19,Delhi,Apple,5140,,,
13-Jul-19,Delhi,Apple,5367,,,
12-Jul-19,Delhi,Apple,5367,,,
11-Jul-19,Delhi,Apple,5367,,,
10-Jul-19,Delhi,Apple,5367,,,
9-Jul-19,Delhi,Apple,5367,,,
25-Jun-19,Delhi,Apple,5000,,,
22-Jun-19,Delhi,Apple,5167,,,
21-Jun-19,Delhi,Apple,5167,,,
20-Jun-19,Delhi,Apple,5167,,,
19-Jun-19,Delhi,Apple,5167,,,
6-Jun-19,Delhi,Apple,6840,,,
10-May-19,Delhi,Apple,6767,,,
2-May-19,Delhi,Apple,6767,,,
18-Apr-19,Delhi,Apple,6767,,,
9-Apr-19,Delhi,Apple,6767,,,
23-Mar-19,Delhi,Apple,4333,,,
25-Feb-19,Delhi,Apple,4120,,,
2-Jan-19,Delhi,Apple,8000,,,
28-Dec-18,Delhi,Apple,8250,,,
27-Dec-18,Delhi,Apple,8000,,,
25-Dec-18,Delhi,Apple,6500,,,
24-Dec-18,Delhi,Apple,6500,,,
22-Dec-18,Delhi,Apple,6500,,,
21-Dec-18,Delhi,Apple,6000,,,
20-Dec-18,Delhi,Apple,5500,,,
19-Dec-18,Delhi,Apple,5500,,,
18-Dec-18,Delhi,Apple,5500,,,
15-Dec-18,Delhi,Apple,5500,,,
13-Dec-18,Delhi,Apple,7750,,,
11-Dec-18,Delhi,Apple,6500,,,
8-Dec-18,Delhi,Apple,6500,,,
7-Dec-18,Delhi,Apple,6500,,,
28-Nov-18,Delhi,Apple,4000,,,
23-Oct-18,Delhi,Apple,6750,,,
22-Oct-18,Delhi,Apple,7000,,,
